Designator,Mid X,Mid Y,Rotation,Layer
AND INPUT A,132.135,-105.0,0.0,top
AND INPUT B,143.5,-105.0,0.0,top
AND OUTPUT,146.0,-92.0,0.0,top
BATTERY,128.5,-77.0,270.0,top
NOT INPUT,154.75,-105.0,0.0,top
NOT OUTPUT,155.5,-92.0,0.0,top
POWER,121.73,-98.0,0.0,top
Q1,147.865,-71.27,90.0,top
Q2,155.365,-71.31,90.0,top
Q3,151.865,-79.73,90.0,top
R1,121.69,-91.5,180.0,top
