BATTERY:1
G***:1
J1:1
NOR INPUT A:1
NOR INPUT B:1
NOR OUTPUT:1
NOT INPUT:1
NOT OUTPUT:1
POWER:1
Q1:1
Q2:1
Q3:1
R1:1
