Designator,Mid X,Mid Y,Rotation,Layer
BT1,125.5,-77.0,270.0,top
D1,155.5,-92.0,0.0,top
D2,146.0,-92.0,0.0,top
D3,121.73,-98.0,0.0,top
IO PINS,115.0,-95.19,0.0,top
Q1,147.865,-71.27,90.0,top
Q2,155.365,-71.31,90.0,top
Q3,151.865,-79.73,90.0,top
R1,121.81,-91.5,180.0,top
SW1,132.135,-105.0,0.0,top
SW2,143.5,-105.0,0.0,top
SW3,154.75,-105.0,0.0,top
